연번,시도,시군구,위도,경도,섬이름,섬코드,육지b연결유무,여객선 유도선 운항여부,접안시설 보유,개발대상섬,성장촉진지역,특수상황지역,인구감소지역,먼섬특별법,2023년 총인구,증감률,증감량,2024년 총인구,2024년 세대,2024년 남자인구,2024년 여자인구,해안선 데이터 기준 면적(제곱키로미터),해안선길이(키로미터),지적도 기준 면적(제곱키로미터),읍면동사무소_본청,읍면동사무소 출장소 행정지원센터,경찰서,파출소,지구대,치안센터,해양경찰서,해경파출소,해경출장소,소방서,119안전센터,119지역대,우체국,NH농협은행,지역농축협,하나로마트,SH수협은행,수협 회원 조합,종합병원 시설 수,종합병원 병상 수,종합병원 의사 수,병원 시설 수,병원 병상 수,병원 의사 수,요양병원 시설 수,요양병원 병상 수,요양병원 의사 수,치과병원 시설 수,치과병원 병상 수,치과병원 의사 수,정신병원 시설 수,정신병원 병상 수,정신병원 의사 수,한방병원 시설 수,한방병원 병상 수,한방병원 의사 수,의원 시설 수,의원 병상 수,의원 의사 수,치과의원 시설 수,치과의원 병상 수,치과의원 의사 수,한의원 시설 수,한의원 병상 수,한의원 의사 수,보건소 시설 수,보건소 병상 수,보건소 의사 수,보건의료원 시설 수,보건의료원 병상 수,보건의료원 의사 수,보건지소 시설 수,보건지소 병상 수,보건지소 의사 수,보건진료소 시설 수,보건진료소 병상 수,보건진료소 의사 수,약국,어린이집 시설,어린이집 정원,어린이집 유아,어린이집 교직원,유치원 시설,유치원 학급,유치원 정원,유치원 유아,유치원 교직원,초등학교 시설,초등학교 학급,초등학교 학생,초등학교 교직원,중학교 시설,중학교 학급,중학교 학생,중학교 교직원,고등학교 시설,고등학교 학급,고등학교 학생,고등학교 교직원,초등학교 총 폐교,초등학교 매각폐교,초등학교 보유폐교,중학교 총 폐교,중학교 매각폐교,중학교 보유폐교,고등학교 총 폐교,고등학교 매각폐교,고등학교 보유폐교,상수도,지하수(관정),해수담수화시설,소규모급수시설,운반급수,빗물 저장,생수 배달,생활용수 기타,송전,디젤발전,태양광발전,풍력발전,전력공급 기타,acc_health_2020_mean,acc_health_2020_min,acc_health_2020_max,acc_health_2021_mean,acc_health_2021_min,acc_health_2021_max,acc_health_2022_mean,acc_health_2022_min,acc_health_2022_max,acc_health_2023_mean,acc_health_2023_min,acc_health_2023_max,acc_emergency_2020_mean,acc_emergency_2020_min,acc_emergency_2020_max,acc_emergency_2021_mean,acc_emergency_2021_min,acc_emergency_2021_max,acc_emergency_2022_mean,acc_emergency_2022_min,acc_emergency_2022_max,acc_emergency_2023_mean,acc_emergency_2023_min,acc_emergency_2023_max,acc_clinic_2020_mean,acc_clinic_2020_min,acc_clinic_2020_max,acc_clinic_2021_mean,acc_clinic_2021_min,acc_clinic_2021_max,acc_clinic_2022_mean,acc_clinic_2022_min,acc_clinic_2022_max,acc_clinic_2023_mean,acc_clinic_2023_min,acc_clinic_2023_max,grid_count,ferry_time_actual,최단소요_min,최단소요_max,총운항편수_편도,경유항로수,ferry_available,access_allnull,has_emergency_onisland,has_clinic_onisland,dist_main_km,sea_leg_min,sea_leg_source,land_leg_emergency_km,land_leg_clinic_km,land_leg_emergency_min,land_leg_clinic_min,Y_time_emergency,Y_time_clinic
1,전라남도,목포시,34.76353077,126.3607167,고하도,461101001,연결,미운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,141,▼12.8%,-18,123,74,67,56,4.5791,15.883,3.2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,7.746291836583333,3.446898963,10.08214621,7.44,3.572,9.171,7.44,3.572,9.171,7.37375,3.551,9.128,7.954455618249999,3.655062744,10.29031,7.713666666666666,3.847,9.445,7.713666666666666,3.847,9.445,8.607583333333332,4.785,10.363,6.0355375,2.77437,12.16696,5.7,2.545,11.007,5.699833333333333,2.545,11.006,5.741083333333333,2.794,10.985,12,,,,,,0,0,0,0,1.3583434941395116,0.0,connected_0,8.909,2.879,13.3635,4.3185,13.3635,4.3185
2,전라남도,목포시,34.80373531,126.3242364,율도,461101002,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,188,▼7.4%,-14,174,104,104,70,2.5275,10.2741,2.5018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,115.0,115.0,115.0,10.0,2.0,1,1,0,0,2.8305547072747936,5.661109414549587,dist_based,3.82,2.367,5.73,3.5505,11.391109414549588,9.211609414549589
3,전라남도,목포시,34.77360356,126.3159642,달리도,461101003,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,214,▼0.5%,-1,213,146,121,92,4.0129,12.0994,3.9793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,115.0,115.0,115.0,8.0,1.0,1,1,0,0,2.058226772790273,4.116453545580547,dist_based,30.659,20.396,45.9885,30.594,50.10495354558055,34.71045354558055
4,전라남도,목포시,34.77957236,126.2967359,외달도,461101004,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,74,▲2.7%,2,76,40,45,31,0.4928,4.4251,0.4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,115.0,115.0,115.0,8.0,1.0,1,1,0,0,2.198846074303286,4.397692148606572,dist_based,31.444,21.181,47.166,31.771500000000003,51.56369214860658,36.16919214860658
5,전라남도,목포시,34.78868316,126.3382137,장좌도,461101005,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,2,▼50.0%,-1,1,1,0,1,0.2855,4.1277,0.2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,X,X,X,X,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,1,0,0,1.7633966805532757,3.5267933611065514,dist_based,3.82,2.367,5.73,3.5505,9.256793361106553,7.077293361106552
6,전라남도,목포시,34.79270474,126.3325112,우도,461101006,미연결,미운항,미보유,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,1,0.00%,0,1,1,1,0,0.0364,1.3022,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,X,X,○,X,X,X,X,X,X,X,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,0,0,2.102592286909791,4.205184573819582,dist_based,3.82,2.367,5.73,3.5505,9.935184573819583,7.7556845738195825
7,전라남도,여수시,34.72064204,127.7116946,야도,461301001,미연결,미운항,보유,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,4,0.00%,0,4,3,3,1,0.0557,1.4376,0.0516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,5.024807434,5.024807434,5.024807434,4.948,4.948,4.948,4.948,4.948,4.948,4.932,4.932,4.932,4.538031717,4.538031717,4.538031717,4.16,4.16,4.16,4.16,4.16,4.16,4.249,4.249,4.249,0.62978,0.62978,0.62978,1.131,1.131,1.131,1.131,1.131,1.131,1.13,1.13,1.13,1,,,,,,0,0,0,0,0.5275725081289644,1.0551450162579288,dist_based,3.63,0.313,5.445,0.4695,6.500145016257929,1.5246450162579288
8,전라남도,여수시,34.70532279,127.7296721,대경도,461301002,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,543,▼2.9%,-16,527,313,269,258,2.4031,14.6605,2.3482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,17,2,4,1,7,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0,1,0,1,2.0175351007058584,4.035070201411717,dist_based,4.893,1.037,7.339499999999999,1.5555,11.374570201411716,5.590570201411717
9,전라남도,여수시,34.70705998,127.7064283,소경도,461301003,미연결,운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,95,▼9.5%,-9,86,49,46,40,0.4425,4.4685,0.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,0,0,1.9860353880147492,3.9720707760294975,dist_based,3.83,0.513,5.745,0.7695,9.717070776029498,4.741570776029499
10,전라남도,여수시,34.88350948,127.7208857,묘도,461301004,연결,미운항,보유,해당,해당 없음,해당,해당 없음,해당 없음,1115,▼3.5%,-39,1076,571,562,514,11.5263,19.2624,11.4491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2,3,0,0,0,0,0,1,4,11,5,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,3.0364383504666668,0.464380217,6.7576066,2.4466,0.372,4.877,2.4466,0.372,4.877,2.650111111111111,0.373,5.791,10.1910805604,7.27767075,15.04240437,9.304977777777776,6.942,12.401,9.304977777777776,6.942,12.401,9.633333333333333,6.925,14.265,9.407524,6.41804,14.58867,8.381577777777778,6.496,11.447,8.381577777777778,6.496,11.447,8.713555555555557,6.223,13.534,45,,,,,,0,0,0,1,1.5032656043936032,0.0,connected_0,9.386,7.029,14.079,10.5435,14.079,10.5435
