섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
469101041,가거도,신안군,2,해상지배형,353,236.4,80.7,155.7
469101039,중태도,신안군,2,해상지배형,12,187.4,73.3,114.1
469101038,상태도,신안군,2,해상지배형,77,186.5,73.2,113.3
469101040,하태도,신안군,2,해상지배형,111,184.0,72.8,111.2
469101037,홍도,신안군,2,해상지배형,435,220.7,110.7,110.0
469101042,만재도,신안군,2,해상지배형,69,163.9,69.8,94.1
469101034,장도,신안군,2,해상지배형,74,192.1,106.4,85.8
469101033,대흑산도,신안군,2,해상지배형,1691,185.0,105.3,79.7
469101035,영산도,신안군,2,혼합형,46,178.6,104.4,74.2
469101043,다물도,신안군,2,혼합형,187,174.6,103.8,70.8
469101036,대둔도,신안군,2,혼합형,277,172.1,103.4,68.7
461301040,서도,여수시,2,해상지배형,603,134.3,71.3,63.0
461301039,거문도,여수시,2,해상지배형,477,133.3,71.1,62.2
461301041,동도,여수시,2,해상지배형,234,128.5,70.4,58.1
468701002,하낙월도,영광군,1,육지지배형,86,92.8,42.3,50.5
468701001,상낙월도,영광군,1,육지지배형,184,94.9,44.3,50.5
468701006,안마도,영광군,1,육지지배형,187,130.5,80.0,50.5
468701008,죽도,영광군,1,육지지배형,4,133.7,83.1,50.5
468701010,대각이도,영광군,1,육지지배형,28,105.3,54.7,50.5
468701007,대석만도,영광군,1,육지지배형,12,134.1,83.6,50.5
469101002,어의도,신안군,1,육지지배형,80,89.5,39.3,50.2
468701009,횡도,영광군,1,육지지배형,3,127.2,80.7,46.4
469101021,임자도,신안군,1,육지지배형,2989,73.0,30.0,43.0
469101022,재원도,신안군,1,육지지배형,172,82.4,39.4,43.0
469101023,부남도,신안군,1,육지지배형,3,100.6,57.6,43.0
469101081,소단도,신안군,1,육지지배형,4,71.6,30.0,41.6
469101030,우이도,신안군,1,혼합형,157,128.1,86.9,41.2
469101031,동소우이도,신안군,1,혼합형,18,121.4,80.1,41.2
469101032,서소우이도,신안군,1,혼합형,45,123.2,82.0,41.2
469101067,반월도,신안군,1,육지지배형,130,71.2,30.0,41.2
469101066,박지도,신안군,1,육지지배형,31,71.2,30.0,41.2
469101050,신도,신안군,1,육지지배형,41,110.3,69.1,41.2
469101065,부소도,신안군,1,육지지배형,24,71.2,30.0,41.2
469101046,장병도,신안군,1,육지지배형,63,90.6,49.4,41.2
469101045,개도,신안군,1,육지지배형,8,97.7,56.4,41.2
469101049,대야도,신안군,1,육지지배형,40,105.7,64.5,41.2
469101048,능산도,신안군,1,육지지배형,41,102.5,61.3,41.2
469101047,문병도,신안군,1,육지지배형,13,90.0,48.8,41.2
469101051,장재도,신안군,1,육지지배형,15,104.8,63.6,41.2
469101057,장산도,신안군,1,육지지배형,1362,88.8,47.6,41.2
469101064,자라도,신안군,1,육지지배형,336,71.2,30.0,41.2
469101054,기도,신안군,1,육지지배형,15,90.7,49.4,41.2
469101059,막금도,신안군,1,육지지배형,16,92.6,51.3,41.2
469101063,요력도,신안군,1,육지지배형,2,83.8,42.5,41.2
469101052,옥도,신안군,1,육지지배형,106,83.5,42.2,41.2
469101044,하의도,신안군,1,육지지배형,1284,102.2,61.0,41.2
469101027,수치도,신안군,1,육지지배형,135,86.8,45.8,41.0
469101068,사치도,신안군,1,육지지배형,81,79.9,38.9,41.0
469101029,도초도,신안군,1,육지지배형,2372,100.4,59.3,41.0
469101020,소악도,신안군,1,육지지배형,12,85.7,45.4,40.3
469101018,대기점도,신안군,1,육지지배형,43,82.0,41.7,40.3
469101019,소기점도,신안군,1,육지지배형,15,84.5,44.2,40.3
469101077,진섬,신안군,1,육지지배형,11,87.4,47.1,40.3
469101016,화도,신안군,1,육지지배형,71,70.3,30.0,40.3
469101015,증도,신안군,1,육지지배형,1346,70.3,30.0,40.3
469101017,병풍도,신안군,1,육지지배형,219,78.3,38.0,40.3
469101025,자은도,신안군,1,육지지배형,2267,66.9,30.0,36.9
469101062,안좌도,신안군,1,육지지배형,2783,66.4,30.0,36.4
469101073,당사도,신안군,1,육지지배형,188,82.6,49.4,33.3
469101079,역도,신안군,1,육지지배형,4,78.6,45.3,33.3
469101070,매도,신안군,1,육지지배형,22,63.3,30.0,33.3
469101074,초란도,신안군,1,육지지배형,8,79.6,46.4,33.3
468901043,여서도,완도군,1,해상지배형,97,86.8,53.9,32.8
468901032,양도,완도군,1,육지지배형,3,62.3,32.0,30.3
468901020,대장구도,완도군,1,육지지배형,4,75.1,44.7,30.3
468901017,대정원도,완도군,1,육지지배형,3,78.8,48.5,30.3
468901023,죽굴도,완도군,1,육지지배형,3,83.8,53.5,30.3
468901019,어룡도,완도군,1,육지지배형,32,69.2,38.8,30.3
468901013,장사도,완도군,1,육지지배형,6,87.3,57.4,29.9
468901052,예작도,완도군,1,육지지배형,43,96.6,66.7,29.9
468901012,노화도,완도군,1,육지지배형,3847,82.7,52.8,29.9
468901014,노록도,완도군,1,육지지배형,26,80.5,50.6,29.9
468901015,마삭도,완도군,1,육지지배형,17,72.8,42.9,29.9
468901021,후장구도,완도군,1,육지지배형,13,81.8,51.9,29.9
468901022,서넙도,완도군,1,육지지배형,161,84.8,54.9,29.9
468901016,넙도(노화읍),완도군,1,육지지배형,465,82.7,52.8,29.9
468901045,당사도,완도군,1,혼합형,31,103.6,73.7,29.9
468901051,보길도,완도군,1,육지지배형,2427,91.2,61.3,29.9
468901018,마안도,완도군,1,육지지배형,24,78.6,48.7,29.9
469101076,노대도,신안군,1,육지지배형,3,67.6,38.1,29.6
469101028,상수치도,신안군,1,육지지배형,5,71.8,42.2,29.6
469101072,추포도,신안군,1,육지지배형,114,59.5,30.0,29.5
469101024,수도,신안군,1,육지지배형,55,58.4,30.0,28.4
469101003,대포작도,신안군,1,육지지배형,21,62.6,34.4,28.2
469101004,소포작도,신안군,1,육지지배형,2,64.8,36.6,28.2
469101069,팔금도,신안군,1,육지지배형,880,58.1,30.0,28.1
469001031,곽도,진도군,1,해상지배형,23,101.0,73.1,27.8
469001030,죽도(조도면),진도군,1,해상지배형,40,99.5,72.2,27.3
468201007,시하도,해남군,1,육지지배형,1,61.2,34.0,27.3
469001029,맹골도,진도군,1,해상지배형,95,99.3,72.1,27.2
468901028,흑일도,완도군,1,육지지배형,74,63.0,36.4,26.5
469101006,사옥도,신안군,1,육지지배형,635,55.8,30.0,25.8
468901002,평일도,완도군,1,육지지배형,3106,75.7,51.8,23.9
469101075,율도(지도읍),신안군,1,육지지배형,1,58.6,34.7,23.8
468901037,초완도,완도군,1,육지지배형,9,55.3,31.8,23.5
469001012,서거차도,진도군,1,해상지배형,98,85.7,63.9,21.7
469001013,상하죽도,진도군,1,해상지배형,11,84.1,63.0,21.1
469001011,동거차도,진도군,1,해상지배형,114,83.6,62.7,20.9
468901009,장도(금일읍),완도군,1,해상지배형,9,81.8,61.8,20.0
468901046,횡간도,완도군,1,육지지배형,100,63.3,46.6,16.7
468901047,구도,완도군,1,육지지배형,58,71.8,55.1,16.7
468901006,황제도,완도군,1,혼합형,17,98.0,81.7,16.3
