섬코드,섬이름,시군구,Y_time_emergency,LISA_cluster
461101001,고하도,목포시,13.3635,LL(양호집적)
461101002,율도,목포시,11.391109414549588,LL(양호집적)
461101003,달리도,목포시,50.10495354558055,LL(양호집적)
461101004,외달도,목포시,51.56369214860658,LL(양호집적)
461101005,장좌도,목포시,9.256793361106553,LL(양호집적)
461101006,우도,목포시,9.935184573819583,LL(양호집적)
461301001,야도,여수시,6.500145016257929,LL(양호집적)
461301002,대경도,여수시,11.374570201411716,LL(양호집적)
461301003,소경도,여수시,9.717070776029498,LL(양호집적)
461301004,묘도,여수시,14.079,LL(양호집적)
461301005,돌산도,여수시,13.797,LL(양호집적)
461301006,송도(돌산읍),여수시,39.93218103613138,비유의
461301007,금죽도,여수시,17.166927283893017,LL(양호집적)
461301008,달천도,여수시,15.306,LL(양호집적)
461301009,송도(율촌면),여수시,22.46036874334656,LL(양호집적)
461301010,소늑도,여수시,22.28251323961676,LL(양호집적)
461301011,대늑도,여수시,21.005862563487817,LL(양호집적)
461301012,운두도,여수시,25.287975243921466,LL(양호집적)
461301013,금오도,여수시,54.31330998414237,비유의
461301015,안도,여수시,61.664852275648784,비유의
461301016,부도,여수시,65.66236658324453,비유의
461301017,연도,여수시,75.52079444921532,비유의
461301018,대두라도,여수시,45.27128809329549,비유의
461301019,소두라도,여수시,44.75988856478645,비유의
461301020,나발도,여수시,43.20798805266014,비유의
461301021,화태도,여수시,41.988,비유의
461301022,대횡간도,여수시,51.87963872814228,비유의
461301023,소횡간도,여수시,54.29437225498196,비유의
461301024,백야도,여수시,33.9675,비유의
461301025,월호도,여수시,45.0305638155488,비유의
461301026,자봉도,여수시,49.37589147791792,비유의
461301027,개도,여수시,45.45133039201485,비유의
461301028,제도,여수시,38.382062570151135,비유의
461301029,상화도,여수시,39.97065033006402,비유의
461301030,하화도,여수시,39.44620413078946,비유의
461301031,사도,여수시,52.79539252998032,비유의
461301032,낭도,여수시,47.3625,비유의
461301033,추도,여수시,54.3062439043313,비유의
461301034,조발도,여수시,43.1475,비유의
461301035,둔병도,여수시,44.409000000000006,비유의
461301036,적금도,여수시,44.409000000000006,비유의
461301037,여자도,여수시,40.37800480508509,LL(양호집적)
461301038,송여자도,여수시,28.85447528891796,LL(양호집적)
461301039,거문도,여수시,133.32257646432836,HH(취약집적)
461301040,서도,여수시,134.29663343004114,HH(취약집적)
461301041,동도,여수시,128.4671174944757,HH(취약집적)
461301042,초도,여수시,80.7504327009486,비유의
461301043,손죽도,여수시,77.97624501302364,비유의
461301044,소거문도,여수시,78.83767789183477,비유의
461301045,평도,여수시,88.35184680654054,비유의
461301046,광도,여수시,93.32618801082567,비유의
462301001,태인도,광양시,13.741499999999998,LL(양호집적)
