signgu_code,시군구,n,미충족의료율,고령화율_65(%),후기고령_75(%),고혈압진단율,당뇨진단율,주관건강나쁨율
46110,목포시,4491,4.6,23.7,10.0,24.7,11.6,17.2
46130,여수시,4491,4.7,26.1,11.0,25.3,12.7,16.7
46150,순천시,4493,4.3,21.3,8.8,22.3,10.3,14.9
46170,나주시,4478,6.9,26.2,12.3,25.6,12.7,19.1
46230,광양시,4484,6.3,18.0,6.9,21.1,9.2,12.1
46710,담양군,4467,4.3,38.2,18.5,32.5,13.9,19.6
46720,곡성군,4409,9.6,41.6,21.6,35.0,15.2,22.0
46730,구례군,4382,7.1,41.9,21.4,35.9,16.0,23.4
46770,고흥군,4449,5.3,48.0,25.6,39.3,16.4,24.1
46780,보성군,4427,3.3,45.5,24.3,39.7,17.3,27.6
46790,화순군,4458,2.7,33.0,16.2,29.3,13.8,20.3
46800,장흥군,4413,4.1,41.0,21.3,34.1,15.2,24.8
46810,강진군,4411,3.1,41.2,21.3,37.2,16.2,21.9
46820,해남군,4455,7.2,39.6,19.6,33.6,15.4,24.1
46830,영암군,4436,3.7,32.7,16.1,29.8,14.1,20.1
46840,무안군,4455,4.7,21.7,9.9,24.7,11.6,15.0
46860,함평군,4407,3.6,43.1,22.2,38.9,16.3,26.5
46870,영광군,4449,4.7,32.7,16.3,29.5,15.0,24.8
46880,장성군,4432,3.3,35.7,17.6,33.5,15.6,20.5
46890,완도군,4441,7.3,39.6,20.4,34.1,15.5,26.4
46900,진도군,4391,7.5,40.3,20.9,39.2,14.9,22.9
46910,신안군,4421,8.0,38.9,18.8,37.1,16.5,21.2
